Customer_ID,Age,Gender,City,Monthly_Income,Orders,Average_Order_Value,Discount_Used,Returned_Items,Satisfaction,Subscription
1001,22,0,0,45000,12,1800,1,1,4,0
1002,31,1,1,72000,20,2500,0,0,5,1
1003,27,0,2,55000,15,2100,1,2,3,0
1004,45,1,0,98000,30,3200,0,1,5,1
1005,35,0,3,68000,18,2400,1,0,4,1
1006,29,1,4,51000,14,1900,0,1,3,0
1007,41,0,1,89000,26,3000,0,0,5,1
1008,24,1,0,47000,10,1700,1,3,2,0
1009,38,0,2,76000,22,2800,0,1,4,1
1010,33,1,0,62000,17,2300,1,0,4,1
1011,28,0,5,53000,13,2000,0,2,3,0
1012,40,1,1,94000,28,3100,0,0,5,1
1013,36,0,0,70000,21,2600,1,1,4,1
1014,23,1,6,43000,9,1600,1,2,2,0
1015,50,0,0,110000,35,3600,0,0,5,1
1016,26,1,7,49000,11,1750,1,1,3,0
1017,32,0,1,65000,19,2350,0,0,4,1
1018,39,1,2,82000,24,2950,0,1,5,1
1019,30,0,0,58000,16,2200,1,2,3,0
1020,42,1,3,91000,27,3150,0,0,5,1
